✓ Mapping open issues…
• Issue #282 → docs/PRD/PRD-06-Messaging-NonCircumvention.md#requirements
• Issue #275 → docs/PRD/PRD-00-Overview.md#principles
• Issue #271 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #269 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #267 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #260 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #259 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #258 → docs/PRD/PRD-00-Overview.md#principles
• Issue #256 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #253 → docs/PRD/PRD-00-Overview.md#principles
• Issue #245 → docs/PRD/PRD-00-Overview.md#principles
• Issue #228 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #210 → docs/PRD/PRD-00-Overview.md#principles
• Issue #209 → docs/PRD/PRD-00-Overview.md#principles
• Issue #208 → docs/PRD/PRD-00-Overview.md#principles
• Issue #207 → docs/PRD/PRD-00-Overview.md#principles
• Issue #205 → docs/PRD/PRD-00-Overview.md#principles
• Issue #203 → docs/PRD/PRD-00-Overview.md#principles
• Issue #202 → docs/PRD/PRD-06-Messaging-NonCircumvention.md#requirements
• Issue #201 → docs/PRD/PRD-00-Overview.md#principles
• Issue #199 → docs/PRD/PRD-00-Overview.md#principles
• Issue #194 → docs/PRD/PRD-03-Shipping-Pricing.md#requirements
• Issue #185 → docs/PRD/PRD-03-Shipping-Pricing.md#requirements
• Issue #184 → docs/PRD/PRD-03-Shipping-Pricing.md#requirements
• Issue #183 → docs/PRD/PRD-03-Shipping-Pricing.md#requirements
• Issue #151 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #116 → docs/PRD/PRD-02-Producer-Onboarding.md#requirements
• Issue #108 → docs/PRD/PRD-00-Overview.md#principles
• Issue #107 → docs/PRD/PRD-00-Overview.md#principles
• Issue #106 → docs/PRD/PRD-00-Overview.md#principles
• Issue #105 → docs/PRD/PRD-00-Overview.md#principles
• Issue #104 → docs/PRD/PRD-00-Overview.md#principles
• Issue #103 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• Issue #87 → docs/PRD/PRD-00-Overview.md#principles
• Issue #86 → docs/PRD/PRD-00-Overview.md#principles
• Issue #77 → docs/PRD/PRD-00-Overview.md#principles
• Issue #75 → docs/PRD/PRD-00-Overview.md#principles
• Issue #74 → docs/PRD/PRD-00-Overview.md#principles
• Issue #32 → docs/PRD/PRD-06-Messaging-NonCircumvention.md#requirements
• Issue #31 → docs/PRD/PRD-03-Shipping-Pricing.md#requirements
• Issue #30 → docs/PRD/PRD-00-Overview.md#principles
• Issue #29 → docs/PRD/PRD-06-Messaging-NonCircumvention.md#requirements
• Issue #28 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
✓ Mapping open PRs…
• PR #283 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• PR #281 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• PR #280 → docs/PRD/PRD-00-Overview.md#principles
• PR #279 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• PR #278 → docs/PRD/PRD-00-Overview.md#principles
• PR #277 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• PR #276 → docs/PRD/PRD-05-Cart-Checkout.md#requirements
• PR #274 → docs/PRD/PRD-00-Overview.md#principles
• PR #273 → docs/PRD/PRD-02-Producer-Onboarding.md#requirements
• PR #272 → docs/PRD/PRD-00-Overview.md#principles
• PR #270 → docs/PRD/PRD-00-Overview.md#principles
• PR #268 → docs/PRD/PRD-00-Overview.md#principles
• PR #266 → docs/PRD/PRD-00-Overview.md#principles
